# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
25.000000 12.000000 1662831.897522 5402274.433189 -42885.632376
25.000000 13.000000 1656217.983309 5408004.001057 -47707.608076
26.000000 0.000000 1762430.874914 5329223.322206 -7457.047715
26.000000 1.000000 1755044.399284 5335622.152319 -9567.471624
26.000000 2.000000 1747638.460678 5342037.843014 -11560.976481
26.000000 3.000000 1740228.437971 5348457.071724 -13530.892380
26.000000 4.000000 1732814.657412 5354879.555824 -15468.308556
26.000000 5.000000 1725418.755844 5361286.551532 -17526.423709
26.000000 6.000000 1718051.412769 5367668.807304 -19753.578995
26.000000 7.000000 1710727.659086 5374013.302020 -22203.929613
26.000000 8.000000 1703455.508701 5380313.093314 -24898.601151
26.000000 9.000000 1696252.256447 5386553.198844 -27905.443890
26.000000 10.000000 1689121.783128 5392730.256710 -31209.031243
26.000000 11.000000 1682126.921614 5398789.835423 -34962.661763
26.000000 12.000000 1675257.842884 5404740.449765 -39106.802410
26.000000 13.000000 1668534.961134 5410564.415124 -43658.840912
26.000000 14.000000 1662017.292013 5416210.606829 -48696.823329
27.000000 0.000000 1772886.652494 5333396.075469 -5587.463359
27.000000 1.000000 1765563.758450 5339739.825488 -8062.769712
27.000000 2.000000 1758202.457055 5346116.847411 -10327.138321
27.000000 3.000000 1750818.462909 5352513.527840 -12452.855268
27.000000 4.000000 1743428.541834 5358915.342707 -14538.951957
27.000000 5.000000 1736040.596526 5365315.445987 -16629.128727
27.000000 6.000000 1728671.122587 5371699.547704 -18835.384468
27.000000 7.000000 1721329.959271 5378059.124211 -21190.774310
27.000000 8.000000 1714033.480744 5384379.990732 -23792.102524
27.000000 9.000000 1706779.440502 5390664.093390 -26578.601734
27.000000 10.000000 1699601.587202 5396882.196061 -29696.997596
27.000000 11.000000 1692550.559044 5402990.431376 -33291.894309
27.000000 12.000000 1685603.328329 5409008.748003 -37210.098489
27.000000 13.000000 1678764.095281 5414933.507329 -41451.049206
27.000000 14.000000 1672050.630416 5420749.314934 -46032.155759
28.000000 0.000000 1782332.105317 5338444.062983 -4538.952148
