along_strike_index,down_dip_index,cen_x,cen_y,cen_z
32,7,1769167.2312706907,5402770.618043348,-18818.95759205339
32,8,1761712.7680156347,5409228.3451569555,-20468.26346940077
32,9,1754282.060918382,5415665.492548172,-22292.109656294495
32,10,1746898.0927413343,5422062.150479325,-24389.82498724131
32,11,1739558.0820634656,5428420.728467686,-26765.167075282818
32,12,1732309.2535746186,5434700.316235802,-29592.876736277503
32,13,1725153.7949118498,5440899.018655526,-32786.82783740612
32,14,1718093.2164533322,5447015.527301323,-36309.61209128679
32,15,1711095.7754294868,5453077.340617649,-40065.39191372637
32,16,1704264.2436677539,5458995.428396175,-44316.738567189626
32,17,1697482.443330361,5464870.434338172,-48728.86463868786
33,0,1831550.571892971,5361959.041739504,-5424.340798595071
33,1,1824313.6999924174,5368228.271634522,-8169.473485595405
33,2,1817011.0620768205,5374554.473971951,-10487.639896672277
33,3,1809616.2957385483,5380960.486242394,-12458.726630892515
33,4,1802181.5232925382,5387401.155404663,-14137.683906119859
33,5,1794706.6481672137,5393876.565117749,-15599.834708758457
33,6,1787220.702683641,5400361.564971692,-16943.79593301672
33,7,1779733.075331403,5406848.0218116725,-18293.26426336556
33,8,1772251.5750970487,5413329.170790586,-19708.80648319589
33,9,1764790.2844812002,5419792.812378703,-21303.36512126401
33,10,1757361.9698860939,5426227.887169191,-23139.311896889383
33,11,1749979.7667660485,5432623.016049079,-25265.77681750392
33,12,1742673.2137066124,5438952.610036538,-27801.55842706489
33,13,1735451.474666098,5445208.730485948,-30743.436526082605
33,14,1728301.7390065028,5451402.475125145,-33976.299722450836
33,15,1721260.9640385683,5457501.828204712,-37591.85050223735
33,16,1714304.9105979349,5463527.787870797,-41496.00065305042
33,17,1707413.2484628595,5469497.965991578,-45599.46330167454
34,0,1843086.1047045407,5365196.413821586,-5274.415548014794
34,1,1835835.042083574,5371477.936996059,-7958.602136118962
34,2,1828505.2979240785,5377827.621202025,-10194.980687890295
34,3,1821102.523380614,5384240.5709006945,-12121.477042298306
34,4,1813662.0474265635,5390686.1809550505,-13751.685010359233
34,5,1806183.2642928734,5397164.9761367785,-15157.763230867378
34,6,1798686.1319348528,5403659.667068398,-16409.115776333634
34,7,1791183.514511538,5410159.109657333,-17608.288640770224
34,8,1783684.0668981648,5416655.806271554,-18843.31759939975
34,9,1776197.8362778495,5423141.053136611,-20207.44540026545
34,10,1768737.2577541652,5429604.077846394,-21784.51957274896
34,11,1761312.7321011988,5436035.870314124,-23641.0116691193
34,12,1753949.860649251,5442414.252362892,-25894.215960192087
34,13,1746669.2264678553,5448721.393085005,-28556.048336897213
